Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
D. Ma; S. Budišin; Z. Wang; G. Gong,"State Key Laboratory of Integrated Service Networks, School of Cyber Engineering, Xidian University, Xi'an, China; RT-RK, Novi Sad, Serbia; State Key Laboratory of Integrated Service Networks, School of Cyber Engineering, Xidian University, Xi'an, China; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada",2019,"National Natural Science Foundation of China(grant numbers:61671013,61672410); Natural Science Foundation of Shaanxi Province(grant numbers:2018JM6076); Programme of Introducing Talents of Discipline to Universities (China 111 Project)(grant numbers:B16037); Ministry of Education and Science of the Republic of Serbia(grant numbers:TR-36029); ",Complete complementary codes (CCCs);complementary sequence sets (CSSs);paraunitary (PU) matrix,Codes;Generators;Correlation;Sequences
Y. Xu; L. Mili; J. Zhao,"Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Falls Church, VA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Falls Church, VA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Falls Church, VA, USA",2019,,Dynamic state estimation;polynomial chaos;Kalman filter;curse of dimensionality;power systems,Chaos;Kalman filters;Dimensionality reduction;Random variables;Nonlinear dynamical systems;Uncertainty;Estimation
N. Singh; P. M. Pradhan,"Department of Electronics and Communication Engineering, Indian Institute of Technology Roorkee, Roorkee, India; Department of Electronics and Communication Engineering, Indian Institute of Technology Roorkee, Roorkee, India",2019,,Time-frequency analysis;discrete ST;energy concentration,Time-frequency analysis;Microsoft Windows;Energy resolution;Signal resolution;Manganese;Time-domain analysis
P. Chen; Y. Yang; Y. Wang; Y. Ma,"School of Marine Science and Technology, Northwestern Polytechnical University, Xian, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xian, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xian, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xian, China",2019,"National Natural Science Foundation of China(grant numbers:11527809,51679204,11604259); ",Bases transition;covariance matrix construction;robust adaptive beamforming;sensor position error,Covariance matrices;Interference;Signal to noise ratio;Direction-of-arrival estimation;Optimization;Signal processing algorithms;Array signal processing
M. Ashraf; J. Jung; H. M. Shin; I. Lee,"School of Electrical Engineering, Korea University, Seoul, South Korea; LG Electronics, Seoul, South Korea; Samsung Electronics, Suwon, South Korea; School of Electrical Engineering, Korea University, Seoul, South Korea",2019,"National Research Foundation through the Ministry of Science, ICT and Future Planning, South Korean Government(grant numbers:2017R1A2B3012316); ",Energy harvesting;Lyapunov optimization;online power allocation,Batteries;Optimization;Transmitters;Resource management;Energy harvesting;Receivers;Fading channels
Y. Zheng; X. Zhang; F. Wang; T. Cao; M. Sun; X. Wang,"Army Artillery and Air Defense Academy of PLA, Key Laboratory of Polarization Imaging Detection Technology, Hefei, China; Army Engineering University of PLA, Nanjing, China; Army Artillery and Air Defense Academy of PLA and the Key Laboratory of Polarization Imaging Detection Technology, Hefei, China; Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China; Army Artillery and Air Defense Academy of PLA and the Key Laboratory of Polarization Imaging Detection Technology, Hefei, China",2019,"Natural Science Foundation of China(grant numbers:61471394,61402519,41406109); Natural Science Foundation of Jiangsu Province(grant numbers:BK20140074); Natural Science Foundation of Anhui Province(grant numbers:1708085QD90); ",Camouflage pattern;camouflaged people detection;dense deconvolution network (DDCN);spatial smoothness,Feature extraction;Semantics;Deconvolution;Object detection;Training;Convolution;Image color analysis
S. Zhang; M. Zhang; S. Jin; C. -K. Wen,"National Mobile Communications Research Laboratory, Southeast University Nanjing, China; National Mobile Communications Research Laboratory, Southeast University Nanjing, China; National Mobile Communications Research Laboratory, Southeast University Nanjing, China; Institute of Communications Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan",2019,National Natural Science Foundation of China(grant numbers:61625106); NSFC(grant numbers:61531011); Ministry of Science and Technology of Taiwan(grant numbers:MOST 107-2221-E-110-026); ,C-FBMC;MIMO;detector;message passing,MIMO communication;Frequency modulation;Detectors;Message passing;Complexity theory;Receiving antennas
V. Lostanlen; J. Salamon; M. Cartwright; B. McFee; A. Farnsworth; S. Kelling; J. P. Bello,"Cornell Lab of Ornithology, Cornell University, Ithaca, NY, USA; New York University, Brooklyn, NY, USA; New York University, Brooklyn, NY, USA; New York University, Brooklyn, NY, USA; Cornell Lab of Ornithology, Cornell University, Ithaca, NY, USA; Cornell Lab of Ornithology, Cornell University, Ithaca, NY, USA; New York University, Brooklyn, NY, USA",2019,"NSF(grant numbers:1633206,1633259); Leon Levy Foundation; Google faculty award; ",Acoustic noise;acoustic sensors;acoustic signal detection;signal classification;spectrogram,Acoustics;Gain control;Spectrogram;Noise measurement;Time-frequency analysis;Dynamic range;Frequency modulation
J. Xu; W. -Q. Wang; R. Gui,"School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China",2019,National Natural Science Foundation of China(grant numbers:61571081); Sichuan Science and Technology Program(grant numbers:2018RZ0141); ,Direction-of-arrival;direction-of-departure;Doppler;unstructured maximum likelihood estimation;multiple-input multiple-output radar;extended invariance principle,Doppler effect;Direction-of-arrival estimation;US Department of Defense;Estimation;Unified modeling language;Computational complexity;MIMO radar
T. Li; F. Hlawatsch; P. M. Djurić,"Bioinformatics, Intelligent System and Educational Technology Research Group, School of Science, University of Salamanca, Salamanca, Spain; Institute of Telecommunications, TU Wien, Vienna, Austria; Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, USA",2019,Marie Skłodowska-Curie Individual Fellowship(grant numbers:709267); Austrian Science Fund(grant numbers:P27370-N30); National Science Foundation(grant numbers:CCF-1618999); ,Distributed multitarget tracking;cardinality consensus;probability hypothesis density filter;PHD filter,Filtering theory;Target tracking;Simulation;Probability
