Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Front Cover,,,IEEE Signal Processing Letters,12 Aug 2015,2015,22,7,C1,C1,Presents the front cover for this issue of the publication.,1558-2361,,10.1109/LSP.2015.2411559,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7192751,,,,,,,IEEE,12 Aug 2015,,,IEEE,IEEE Journals
IEEE Signal Processing Letters publication information,,,IEEE Signal Processing Letters,12 Aug 2015,2015,22,7,C2,C2,"Provides a listing of the editors, board members, and current staff for this issue of the publication.",1558-2361,,10.1109/LSP.2015.2467437,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7192800,,,,,,,IEEE,12 Aug 2015,,,IEEE,IEEE Journals
Table of Contents,,,IEEE Signal Processing Letters,9 Mar 2015,2015,22,7,785,786,Presents the table of contents for this issue of the publication.,1558-2361,,10.1109/LSP.2015.2392574,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7056605,,,,,,,IEEE,9 Mar 2015,,,IEEE,IEEE Journals
Table of Contents,,,IEEE Signal Processing Letters,9 Mar 2015,2015,22,7,787,788,Presents the table of contents for this issue of the publication.,1558-2361,,10.1109/LSP.2015.2392575,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7056604,,,,,,,IEEE,9 Mar 2015,,,IEEE,IEEE Journals
Higher-Order-Statistics-Based Fractal Dimension for Noisy Bowel Sound Detection,M. -J. Sheu; P. -Y. Lin; J. -Y. Chen; C. -C. Lee; B. -S. Lin,"Division of Gastroenterology and Hepatology, Chi Mei Medical Center, Tainan, Taiwan; Institute of Imaging and Biomedical Photonics, National Chiao Tung University, Hsinchu, Taiwan; Department of Anesthesiology, Chimei Medical Center, Tainan, Taiwan; Department of Anesthesiology, Chimei Medical Center, Tainan, Taiwan; Institute of Imaging and Biomedical Photonics, National Chiao Tung University, Hsinchu, Taiwan",IEEE Signal Processing Letters,20 Nov 2014,2015,22,7,789,793,"Bowel sounds is an important physiological parameter of distinguishing the gastrointestinal motility dysfunction. Auscultation of bowel sounds provides a noninvasive way for clinical diagnosis, but it is also easily affected by environmental noise. In this study, a novel higher-order-statistics (HOS)-based fractal dimension algorithm was proposed for detecting noisy bowel sounds. By using the nature of preserving non-Gaussianity for higher order statistics technique, the proposed method can effectively detect bowel sounds under different noise conditions, and its performance is insensitive to the change of noise type and noise level.",1558-2361,,10.1109/LSP.2014.2369856,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6952970,Bowel sound;environmental noise;fractal dimension;higher order statistics,Fractals;Signal processing algorithms;Noise;Higher order statistics;Noise measurement;Biomedical imaging;Electronic mail,,22,,19,IEEE,11 Nov 2014,,,IEEE,IEEE Journals
Visual Tracking via Structure Constrained Grouping,L. Wang; H. Lu; D. Wang,"Faculty of Electronic Information and Electrical Engineering, Dalian University of Technology, Dalian, China; Faculty of Electronic Information and Electrical Engineering, Dalian University of Technology, Dalian, China; Faculty of Electronic Information and Electrical Engineering, Dalian University of Technology, Dalian, China",IEEE Signal Processing Letters,20 Nov 2014,2015,22,7,794,798,"This letter introduces a novel two-pass structural grouping algorithm and casts visual tracking as foreground superpixels grouping problem. In the first step, pairwise superpixel grouping is conducted in four orientations. Grouping prototypes containing the prior information of foreground and background are generated to determine whether any pair of neighboring superpixels should be grouped together. In the second step, superpixels selected by the first step are grouped into a single region which serves as the object region. The proposed grouping method has two benefits over the state-of-the-art ones. First, pairwise grouping is independently conducted in four orientations, which exploits the local structure of the foregound/backgroud and facilitates a more robust grouping process. Second, rather than considering the similarity of two neighboring superpixels, the grouping process is performed via accounting for the prior information of the object and the background, which is more suitable for visual tracking. Many experiments on challenging video clips demonstrate that our method achieves good performance than the state-of-the-art trackers in a wide range of tracking scenarios.",1558-2361,,10.1109/LSP.2014.2369476,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6952967,Sparse representation;structural grouping;visual tracking,Prototypes;Visualization;Training;Image color analysis;Signal processing algorithms;Educational institutions;Materials,,10,,21,IEEE,11 Nov 2014,,,IEEE,IEEE Journals
Adaptive Array Thinning for Enhanced DOA Estimation,X. Wang; E. Aboutanios; M. G. Amin,"School of Electrical Engineering and Telecommunication, University of New South Wales, Sydney, Australia; School of Electrical Engineering and Telecommunication, University of New South Wales, Sydney, Australia; Center for Advanced Communications, Villanova University, Villanova, PA, USA",IEEE Signal Processing Letters,21 Nov 2014,2015,22,7,799,803,"Antenna array configurations play an important role in direction of arrival (DOA) estimation. In this letter, performance enhancement of DOA estimation is achieved by reconfiguring the multi-antenna receiver through an antenna selection strategy. We derive the Cramer-Rao Bound (CRB) in terms of the selected antennas and associated subarray for both peak sidelobe level (PSL) constrained isotropic and directional arrays in single source cases. Since directional arrays are angle dependent, a Dinklebach type algorithm and convex relaxation are introduced to maintain the optimum selection by adaptively reconfiguring the directional subarrays using semi-definite programming. Simulation results validate the effectiveness of the proposed antenna selection strategy.",1558-2361,,10.1109/LSP.2014.2370632,"Office of Naval Research ONR(grant numbers:N00014-13-1-0061); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6955794,Antenna selection;Cramer-Rao bound;dinklebach algorithm;directional array;isotropic array,Arrays;Antenna arrays;Direction-of-arrival estimation;Estimation;Directive antennas;Signal processing algorithms,,43,,23,IEEE,13 Nov 2014,,,IEEE,IEEE Journals
Feasible Point Pursuit and Successive Approximation of Non-Convex QCQPs,O. Mehanna; K. Huang; B. Gopalakrishnan; A. Konar; N. D. Sidiropoulos,"Qualcomm., San Jose, CA, US; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, US; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, US; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, US; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, US",IEEE Signal Processing Letters,20 Nov 2014,2015,22,7,804,808,"Quadratically constrained quadratic programs (QCQPs) have a wide range of applications in signal processing and wireless communications. Non-convex QCQPs are NP-hard in general. Existing approaches relax the non-convexity using semi-definite relaxation (SDR) or linearize the non-convex part and solve the resulting convex problem. However, these techniques are seldom successful in even obtaining a feasible solution when the QCQP matrices are indefinite. In this letter, a new feasible point pursuit successive convex approximation (FPP-SCA) algorithm is proposed for non-convex QCQPs. FPP-SCA linearizes the non-convex parts of the problem as conventional SCA does, but adds slack variables to sustain feasibility, and a penalty to ensure slacks are sparingly used. When FPP-SCA is successful in identifying a feasible point of the non-convex QCQP, convergence to a Karush-Kuhn-Tucker (KKT) point is thereafter ensured. Simulations show the effectiveness of our proposed algorithm in obtaining feasible and near-optimal solutions, significantly outperforming existing approaches.",1558-2361,,10.1109/LSP.2014.2370033,"Division of Information and Intelligent Systems(grant numbers:IIS-1247632); Division of Electrical Communications and Cyber Systems(grant numbers:ECCS-1231504); Division of Astronomical Sciences(grant numbers:AST-1247885); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6954488,Feasible point pursuit;linearization;multicast beamforming;non-convex QCQP;semi-definite relaxation;successive convex approximation,Signal processing algorithms;Convergence;Linear approximation;Approximation algorithms;Linear matrix inequalities;Ellipsoids,,206,,20,IEEE,12 Nov 2014,,,IEEE,IEEE Journals
Gradient Radial Basis Function Based Varying-Coefficient Autoregressive Model for Nonlinear and Nonstationary Time Series,M. Gan; C. L. P. Chen; H. -X. Li; L. Chen,"School of Electrical Engineering and Automation, Hefei University of Technology, Hefei, Anhui, P. R. China; Faculty of Science and Technology, University of Macau, Macau, China; Department of Systems Engineering and Engineering Management, City University of Hong Kong, Hong Kong; Faculty of Science and Technology, University of Macau, Macau, China",IEEE Signal Processing Letters,21 Nov 2014,2015,22,7,809,812,"We propose a gradient radial basis function based varying-coefficient autoregressive (GRBF-AR) model for modeling and predicting time series that exhibit nonlinearity and homogeneous nonstationarity. This GRBF-AR model is a synthesis of the gradient RBF and the functional-coefficient autoregressive (FAR) model. The gradient RBFs, which react to the gradient of the series, are used to construct varying coefficients of the FAR model. The Mackey-Glass chaotic time series are used to evaluate the performance of the proposed method. It is shown that the GRBF-AR model not only achieves much more parsimonious structure but also much better prediction performance than that of GRBF network.",1558-2361,,10.1109/LSP.2014.2369415,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6953131,Functional-coefficient autoregressive model;gradient radial basis function;nonlinear and nonstationary time series;separable nonlinear least squares,Time series analysis;Adaptation models;Predictive models;Numerical models;Vectors;Educational institutions,,51,,28,IEEE,11 Nov 2014,,,IEEE,IEEE Journals
Performance of Transmit Beamforming Codebooks with Separate Amplitude and Phase Quantization,A. Dowhuszko; J. Hämäläinen,"Department of Communications and Networking, Aalto University, Aalto, Finland; Department of Communications and Networking, Aalto University, Aalto, Finland",IEEE Signal Processing Letters,25 Nov 2014,2015,22,7,813,817,"A simple quantization scheme is proposed to adjust separately the amplitudes and phases of signals in a codebook-based Transmit Beamforming (TBF) scheme. The proposed quantization scheme is valid for both desired signal power maximization (egoistic TBF) and co-channel interference mitigation (altruistic TBF), and does not require an exhaustive search to find the optimal TBF vector. Performance results are presented when variable numbers of bits for amplitude and phase feedback resolutions are used for both egoistic and altruistic TBF schemes.",1558-2361,,10.1109/LSP.2014.2370762,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6955807,Codebook design;interference mitigation;limited feedback terms;separate quantization;transmit beamforming,Quantization (signal);Vectors;Array signal processing;Signal to noise ratio;Interchannel interference;Antennas,,13,,13,OAPA,13 Nov 2014,,,IEEE,IEEE Journals
