"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Cover","",,IEEE Signal Processing Letters,"19 Nov 2015","2015","22","11","C1","C1","Presents the front cover for this issue of the publication.","1558-2361","","10.1109/LSP.2015.2500838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332285","","","","","","","IEEE","19 Nov 2015","","","IEEE","IEEE Journals"
"IEEE Signal Processing Letters publication information","",,IEEE Signal Processing Letters,"19 Nov 2015","2015","22","11","C2","C2","Provides a listing of the editors, board members, and current staff for this issue of the publication.","1558-2361","","10.1109/LSP.2015.2499943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332273","","","","","","","IEEE","19 Nov 2015","","","IEEE","IEEE Journals"
"Table of Contents","",,IEEE Signal Processing Letters,"27 Aug 2015","2015","22","11","1823","1825","Presents the table of contents for this issue of the publication.","1558-2361","","10.1109/LSP.2015.2468391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7226896","","","","","","","IEEE","27 Aug 2015","","","IEEE","IEEE Journals"
"Table of Contents","",,IEEE Signal Processing Letters,"27 Aug 2015","2015","22","11","1826","1828","Presents the table of contents for this issue of the publication.","1558-2361","","10.1109/LSP.2015.2468392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7226894","","","","","","","IEEE","27 Aug 2015","","","IEEE","IEEE Journals"
"Compressive Hyperspectral Imaging for Stellar Spectroscopy","M. Fickus; M. E. Lewis; D. G. Mixon; J. Peterson","Department of Mathematics and Statistics, Air Force Institute of Technology, Wright-Patterson Air Force Base, Ohio; Department of Mathematics and Statistics, Air Force Institute of Technology, Wright-Patterson Air Force Base, Ohio; Department of Mathematics and Statistics, Air Force Institute of Technology, Wright-Patterson Air Force Base, Ohio; Department of Mathematics and Statistics, Air Force Institute of Technology, Wright-Patterson Air Force Base, Ohio",IEEE Signal Processing Letters,"4 Jun 2015","2015","22","11","1829","1833","Hyperspectral data is commonly used by astronomers to discern the chemical composition of stars. Unfortunately, conventional hyperspectral platforms require long exposure times, which can hamper their use in applications like celestial navigation. We propose a compressed sensing platform that exploits the spatial sparsity of stars to quickly sample the hyperspectral data. We leverage certain combinatorial designs to devise coded apertures, and then we apply block orthogonal matching pursuit to quickly reconstruct the desired imagery.","1558-2361","","10.1109/LSP.2015.2433837","Division of Mathematical Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7115943","Block sparsity;compressive hyperspectral imaging;compressed sensing;matching pursuit;stellar spectroscopy","Hyperspectral imaging;Apertures;Charge coupled devices;Imaging;Matching pursuit algorithms;Government","","6","","19","USGov","1 Jun 2015","","","IEEE","IEEE Journals"
"A Low-Complexity Near-ML Differential Spatial Modulation Detector","M. Wen; X. Cheng; Y. Bian; H. V. Poor","School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; Department of Electrical Engineering, Princeton University, Princeton, NJ, USA",IEEE Signal Processing Letters,"4 Jun 2015","2015","22","11","1834","1838","Differential spatial modulation (DSM) is a newly-emerging differential scheme tailored to the spatial modulation technique, which selects only one among a group of antennas for transmission at any time instant. DSM, however, gives rise to prohibitive search complexity when the number of transmit antennas is large. In this letter, a low-complexity suboptimal detector is proposed for DSM. It is designed based on the maximum-likelihood criterion but takes more candidates for the antenna activation orders into account. The detection is performed in two steps: the first step is to confine the number of candidates for the modulated symbols to a small portion by exploiting the symmetry of the signal constellation; the second step is to select the most likely modulated symbols from the output of the first step according to the determined antenna activation order via a Viterbi-like algorithm. Analyses and simulations show that the proposed detector achieves near-optimal performance yet largely reduces the search complexity.","1558-2361","","10.1109/LSP.2015.2425042","National 973 project(grant numbers:2013CB336700); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7090939","Differential modulation;search complexity;spatial modulation (SM)","Detectors;Transmitting antennas;Modulation;Complexity theory;Covariance matrices;Electronic mail","","50","","11","IEEE","21 Apr 2015","","","IEEE","IEEE Journals"
"A Color Channel Fusion Approach for Face Recognition","Z. Lu; X. Jiang; A. C. Kot","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Signal Processing Letters,"4 Jun 2015","2015","22","11","1839","1843","Due to high dimensionality of images or generated color features, different color channels are usually processed separately and then concatenated together into a feature vector for classification. This makes channel fusion a crucial step in color face recognition (FR) systems. However, existing methods simply concatenate channel-wise color features without identifying the importance or reliability of features in different color channels. In this paper, we propose a color channel fusion (CCF) approach using jointly dimension reduction algorithms to select more features from reliable and discriminative channels. Experiments using two different dimension reduction approaches, two different types of features on three image datasets show that CCF achieves consistently better performance than color channel concatenation (CCC) method which deals with different color channels equally.","1558-2361","","10.1109/LSP.2015.2438024","Nanyang Technological University; National Research Foundation Prime Ministers Office Singapore; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113819","Channel fusion;color face recognition;dimension reduction","Image color analysis;Color;Principal component analysis;Feature extraction;Face recognition;Reliability;Eigenvalues and eigenfunctions","","18","","30","IEEE","1 Jun 2015","","","IEEE","IEEE Journals"
"Generalized Nested Sampling for Compressing Low Rank Toeplitz Matrices","H. Qiao; P. Pal","Dept. of Electrical and Computer Engineering, University of Maryland, College Park, MD, USAE; Dept. of Electrical and Computer Engineering, University of Maryland, College Park, MD, USAE",IEEE Signal Processing Letters,"4 Jun 2015","2015","22","11","1844","1848","This paper considers the problem of compressively sampling wide sense stationary random vectors with a low rank Toeplitz correlation matrix. A new structured deterministic sampling method known as the “Generalized Nested Sampling” (GNS) is used to fully exploit the inherent redundancy of low rank Toeplitz matrices. For a Toeplitz matrix of size N ×N with rank r, this sampling scheme uses only O(√r) measurements and allows exact recovery from noiseless measurements. This compression factor is independent of N and is shown to be larger than that achieved by existing random sampling based techniques for compressing Toeplitz matrices. The recovery procedure exploits the connection between Toeplitz matrices and linear prediction.","1558-2361","","10.1109/LSP.2015.2438066","University of Maryland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113829","Compressive covariance sampling;low rank recovery;matrix sketching;nested sampling;toeplitz matrix","Covariance matrices;Matrix decomposition;Correlation;Signal processing algorithms;Noise measurement;Prediction algorithms;Symmetric matrices","","20","","16","IEEE","1 Jun 2015","","","IEEE","IEEE Journals"
"Median Filtering Forensics Based on Convolutional Neural Networks","J. Chen; X. Kang; Y. Liu; Z. J. Wang","School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; Electrical and Computer Engineering Department, University of British Columbia, Vancouver, Canada",IEEE Signal Processing Letters,"4 Jun 2015","2015","22","11","1849","1853","Median filtering detection has recently drawn much attention in image editing and image anti-forensic techniques. Current image median filtering forensics algorithms mainly extract features manually. To deal with the challenge of detecting median filtering from small-size and compressed image blocks, by taking into account of the properties of median filtering, we propose a median filtering detection method based on convolutional neural networks (CNNs), which can automatically learn and obtain features directly from the image. To our best knowledge, this is the first work of applying CNNs in median filtering image forensics. Unlike conventional CNN models, the first layer of our CNN framework is a filter layer that accepts an image as the input and outputs its median filtering residual (MFR). Then, via alternating convolutional layers and pooling layers to learn hierarchical representations, we obtain multiple features for further classification. We test the proposed method on several experiments. The results show that the proposed method achieves significant performance improvements, especially in the cut-and-paste forgery detection.","1558-2361","","10.1109/LSP.2015.2438008","National Science Foundation of China(grant numbers:61379155,U1135001,61332012); 973 Program(grant numbers:2011CB302204); NSF of Guangdong province(grant numbers:s2013020012788); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7113799","Convolutional neural networks;deep learning;hierarchical representations;median filtering forensics","Filtering;Convolution;Forensics;Feature extraction;Kernel;Image coding;Image edge detection","","366","","24","IEEE","1 Jun 2015","","","IEEE","IEEE Journals"
"Learning Visual-Spatial Saliency for Multiple-Shot Person Re-Identification","Y. Xie; H. Yu; X. Gong; Z. Dong; Y. Gao","Department of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, Zhejiang, China; Department of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, Zhejiang, China; Department of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, Zhejiang, China; Department of System Architecture, ZTE Corporation, Shenzhen, China; Department of System Architecture, ZTE Corporation, Shenzhen, China",IEEE Signal Processing Letters,"8 Jun 2015","2015","22","11","1854","1858","Recognizing persons across non-overlapping camera views, known as person re-identification, has received increasing attentions for its importance in many surveillance applications. However, most of existing methods rely on pre-training steps to ensure their performance and ignore the body prior knowledge of pedestrians. In this letter, we propose a novel non-training method for person re-identification which learns visual-spatial saliency from voter images and the given query image. First we segment pedestrian images into small regions and use two hypergraphs to represent the visual and spatial relationship among regions. Then we formulate the visual-spatial saliency learning as a joint hypergraph ranking problem by simultaneously considering the human body prior and the appearance similarity among pedestrians. Finally, the visual-spatial saliency is incorporated in region-based matching to improve the performance of person re-identification. Experimental evaluation on three publicly available datasets demonstrates the effectiveness of our approach.","1558-2361","","10.1109/LSP.2015.2440294","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7116518","Hypergraph learning;person re-identification;visual-spatial saliency","Visualization;Joints;Signal processing algorithms;Cameras;Measurement;Surveillance;Image color analysis","","13","","38","IEEE","2 Jun 2015","","","IEEE","IEEE Journals"
