"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"IEEE Signal Processing Society Information","",,IEEE Signal Processing Letters,"30 Jan 2023","2022","29","","C2","C2","Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication. ","1558-2361","","10.1109/LSP.2023.3238460","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10032223","","","","","","0","IEEE","30 Jan 2023","","","IEEE","IEEE Journals"
"Real-Time Audio-Guided Multi-Face Reenactment","J. Zhang; X. Zeng; C. Xu; Y. Liu","the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China; the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China; the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China; the APRIL Lab, College of Control Science and Engineering, Zhejiang University, Hangzhou, China",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","1","5","Audio-guided face reenactment aims to generate authentic target faces that have matched facial expression of the input audio, and many learning-based methods have successfully achieved this. However, most methods can only reenact a particular person once trained or suffer from the low-quality generation of the target images. Also, nearly none of the current reenactment works consider the model size and running speed that are important for practical use. To solve the above challenges, we propose an efficient <italic>A</italic>udio-guided <italic>M</italic>ulti-face reenactment model named <italic>AMNet</italic>, which can reenact target faces among multiple persons with corresponding source faces and drive signals as inputs. Concretely, we design a <italic>Geometric Controller</italic> (GC) module to inject the drive signals so that the model can be optimized in an end-to-end manner and generate more authentic images. Also, we adopt a lightweight network for our face reenactor so that the model can run in real-time on both CPU and GPU devices. Abundant experiments prove our approach’s superiority over existing methods, <italic>e.g</italic>., averagely decreasing FID by 0.12<inline-formula><tex-math notation=""LaTeX"">$\downarrow$</tex-math></inline-formula> and increasing SSIM by 0.031<inline-formula><tex-math notation=""LaTeX"">$\uparrow$</tex-math></inline-formula> than APB2Face, while owning fewer parameters (<inline-formula><tex-math notation=""LaTeX"">$\times 4 \downarrow$</tex-math></inline-formula>) and faster CPU speed (<inline-formula><tex-math notation=""LaTeX"">$\times 4 \uparrow$</tex-math></inline-formula>).","1558-2361","","10.1109/LSP.2021.3116506","National Natural Science Foundation of China(grant numbers:61836015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552566","Real-time face reenactment;audio-guided face reenactment;multi-face reenactment;generative adversarial nets","Faces;Task analysis;Head;Training;Real-time systems;Feature extraction;Convolution","","12","","33","IEEE","29 Sep 2021","","","IEEE","IEEE Journals"
"Perceiving Temporal Environment for Correlation Filters in Real-Time UAV Tracking","F. Zhang; S. Ma; Y. Zhang; Z. Qiu","Graduate College, Air Force Engineering University, Xi&#x2019;an, China; Aeronautical Engineering College, Air Force Engineering University, Xi&#x2019;an, China; Graduate College, Air Force Engineering University, Xi&#x2019;an, China; Aeronautical Engineering College, Air Force Engineering University, Xi&#x2019;an, China",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","6","10","Discriminative correlation filter (DCF)-based methods applied for UAV object tracking have received widespread attention due to their high efficiency. However, these methods are usually troubled by the boundary effect. Besides, the violent environment variations severely confuse trackers that neglect temporal environmental changes among consecutive frames, leading to unwanted tracking drift. In this letter, we propose a novel DCF-based tracking method to promote the insensitivity of the tracker under uncertain environmental changes. Specifically, a regularization term is proposed to learn the environment residual between two adjacent frames, which can enhance the discrimination and insensitivity of the filter in fickle tracking scenarios. Further, we design an efficient strategy to acquire the environment information based on the current observation without additional computation. Exhausted experiments are conducted on two well-known UAV benchmarks, <italic>i.e.</italic>, UAV123_10fps and DTB70. Results verify that the proposed tracker has comparable performance with other 22 state-of-the-art trackers while running at <inline-formula><tex-math notation=""LaTeX"">$\sim$</tex-math></inline-formula> 53 FPS on a low-cost CPU.","1558-2361","","10.1109/LSP.2021.3120943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580739","Visual tracking;unmanned aerial vehicle;discriminative correlation filter;residual learning","Target tracking;Training;Tracking;Correlation;Feature extraction;Unmanned aerial vehicles;Feedback amplifiers","","27","","29","IEEE","19 Oct 2021","","","IEEE","IEEE Journals"
"Gaussian Fourier Pyramid for Local Laplacian Filter","Y. Sumiya; T. Otsuka; Y. Maeda; N. Fukushima","Nagoya Institute of Technology, Nagoya, Japan; Nagoya Institute of Technology, Nagoya, Japan; Tokyo University of Science, Tokyo, Japan; Nagoya Institute of Technology, Nagoya, Japan",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","11","15","Multi-scale processing is essential in image processing and computer graphics. Halos are a central issue in multi-scale processing. Several edge-preserving decompositions resolve halos, e.g., local Laplacian filtering (LLF), by extending the Laplacian pyramid to have an edge-preserving property. Its processing is costly; thus, an approximated acceleration of fast LLF was proposed to linearly interpolate multiple Laplacian pyramids. This paper further improves the accuracy by Fourier series expansion, named Fourier LLF. Our results showed that Fourier LLF has a higher accuracy for the same number of pyramids. Moreover, Fourier LLF exhibits parameter-adaptive property for content-adaptive filtering.","1558-2361","","10.1109/LSP.2021.3121198","JSPS KAKENHI(grant numbers:18K19813,19K24368,21H03465,21K17768); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580704","Local Laplacian filter;Laplacian pyramid;Fourier series expansion;scale-space","Laplace equations;Image edge detection;Fourier series;Buildings;Standards;Smoothing methods;Licenses","","18","","28","CCBY","19 Oct 2021","","","IEEE","IEEE Journals"
"An Efficient Method for Cooperative Multi-Target Localization in Automotive Radar","X. Zhang; F. Wang; H. Li","Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","16","20","We consider the problem of locating multiple targets using automotive radar by exploiting a pair of cooperative vehicles, which form a mono- and bi-static sensing system to provide spatial diversity for localization. Each of the two sub-systems can measure the target echoes. The problem is to determine the locations of multiple targets in the surrounding area. A conventional approach is to directly estimate the target locations from the joint distribution of the mono- and bi-static observations, which is computationally prohibitive. In this paper, we propose a efficient two-step method that first uses the delay and angle estimates from each individual system to determine initial target locations, which are subsequently refined via an association and fusion step. Specifically, we use a 2-dimensional (2-D) fast Fourier transform (FFT) based approach to obtain the delay and angle estimates of each target in a sequential manner. The delay/angle estimates obtained by mono-static and bi-static systems lead to two sets of initial target location estimates, which are then sorted and paired via a minimum distance criterion. Finally, the initial location estimates are fused/weighted according to the target strength observed by each system. Simulation results show that our cooperative approach yields significant improved performance over non-cooperative approaches using only the mono-static or bi-static sensing system.","1558-2361","","10.1109/LSP.2021.3121626","National Science Foundation(grant numbers:ECCS-1923739); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583869","Mono-static sensing;bi-static sensing;multiple targets localization;delay and angle estimation;2-D FFT","Sensors;Delays;Location awareness;Radar;Receiving antennas;Automotive engineering;Radar signal processing","","15","","22","IEEE","21 Oct 2021","","","IEEE","IEEE Journals"
"Compressed Sensing MRI by Integrating Deep Denoiser and Weighted Schatten P-Norm Minimization","X. Yang; Y. Mei; X. Hu; R. Luo; K. Liu","College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China; College of Electrical Engineering, Sichuan University, Chengdu, China",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","21","25","To efficiently reconstruct magnetic resonance images (MRI) from highly undersampled measurements by using compressed sensing (CS), in this letter, we propose a hybrid regularization model from deep prior and low-rank prior. The local deep prior is explored by a fast flexible denoising convolutional neural network (FFDNet). To compensate for 1) the generalization capability of FFDNet on artifact noise caused by undersampling K-space and 2) the inaccurate noise estimation for various undersampling ratios, we model the low-rank prior as a weighted Schatten p-norm to obtain the global information of MRIs. The final model, combined by the local deep and low-rank priors, is solved by the alternating directional method of multipliers under the plug-and-play framework. Compared with the popular CS-MRI approaches, the experimental results demonstrate that the proposed method can achieve better reconstruction performance in terms of quality index and visual effects.","1558-2361","","10.1109/LSP.2021.3122338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9585373","Deep prior;FFDNet;Low-rank prior;MRI reconstruction;Plug-and-play","Magnetic resonance imaging;Image reconstruction;Noise reduction;Indexes;AWGN;TV;Noise level","","11","","30","IEEE","26 Oct 2021","","","IEEE","IEEE Journals"
"A Data-Driven Waveform Adaptation Method for Mm-Wave Gait Classification at the Edge","S. Hor; M. Pilanci; A. Arbabian","Electrical Engineering Department, Stanford university, Stanford, CA, USA; Electrical Engineering Department, Stanford university, Stanford, CA, USA; Electrical Engineering Department, Stanford university, Stanford, CA, USA",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","26","30","The ever-increasing need for real-time 3D perception for autonomy has resulted in development of a new generation of high-resolution perception sensors paired with powerful edge processors and advanced perception algorithms. However, processing of the large data volumes generated by such high-resolution sensors still imposes a great challenge for resource-limited edge devices and systems. In this work, we visit this problem in the context of pedestrian gait analysis using high-resolution mm-Wave sensors with application in autonomous driving. We propose reducing the total computational load of a resource-limited perception system by dynamically controlling the mm-Wave sensor’s resolution on the fly. We provide results on three dynamic sensor adaptation approaches including an end-to-end Deep Q-Learning approach that can overcome the resource and performance limitations inherent to conventional static methods.","1558-2361","","10.1109/LSP.2021.3122355","Semiconductor Research Corporation; Defense Advanced Research Projects Agency; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9585414","Deep neural networks;mm-wave sensing;gait recognition;reinforcement learning","Three-dimensional displays;Q-learning;Program processors;Signal processing algorithms;Dynamic scheduling;Control systems;Sensor systems","","2","","26","IEEE","26 Oct 2021","","","IEEE","IEEE Journals"
"SeSy: Linguistic Steganalysis Framework Integrating Semantic and Syntactic Features","J. Yang; Z. Yang; S. Zhang; H. Tu; Y. Huang","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","31","35","With the rapid development of natural language processing technology and linguistic steganography, linguistic steganalysis gains considerable interest in recent years. Current advanced methods dominantly focus on statistical features in semantic view yet ignore syntax structure of text, which leads to limited performance to some newly statistically indistinguishable steganography algorithms. To fill this gap, in this paper, we propose a novel linguistic steganalysis framework named SeSy to integrate both semantic and syntactic features. Specifically, we propose to employ transformer-architecture language model as semantics extractor and leverage a graph attention network to retain syntactic features. Extensive experimental results show that owing to additional syntactic information, the SeSy framework effectively brings about remarkable improvement to current advanced linguistic steganalysis methods.","1558-2361","","10.1109/LSP.2021.3122901","National Natural Science Foundation of China(grant numbers:U1936216,61862002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591452","Linguistic steganalysis;syntactic feature;graph network","Semantics;Syntactics;Feature extraction;Transformers;Linguistics;Steganography;Correlation","","39","","30","IEEE","27 Oct 2021","","","IEEE","IEEE Journals"
"Fine-Grained Image Classification With Global Information and Adaptive Compensation Loss","Q. Wu; S. Miao; Z. Chai; G. Guo","Department of Computer Science, Jiangnan University, Wuxi, China; Department of Computer Science, Jiangnan University, Wuxi, China; Department of Computer Science, Jiangnan University, Wuxi, China; Department of Computer Science and Electrical Engineering, West Virginia University, Morgantown, WV, USA",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","36","40","Fine-grained image classification differs from traditional image classification in that the former needs to divide subclasses under a basic level of categories. Previous works always focus on how to locate discriminative parts of objects, but we find that the global and background information of objects neglected by them is also valuable in some situations. This letter proposes a method to combine the global information and discriminative parts information of objects to do classification, which includes three modules: (1) Activation map based crop-erase module localizes objects while avoiding localization bias due to excessive bias of the network to learn one discriminative part. (2) Part attention module helps learning discriminative part features of objects. (3) Two-level fusion module gives consideration to the global and local information of objects and some potentially effective background information. Meanwhile, we propose an adaptive compensation loss to distinguish easily confused categories. Experiments show that our method achieves state-of-the-art performance on three open benchmarks.","1558-2361","","10.1109/LSP.2021.3123453","National Natural Science Foundation of China(grant numbers:61972180); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591337","Adaptive compensation loss;attention;feature fusion;fine-grained image classification;global information","Crops;Feature extraction;Task analysis;Image classification;Mathematical models;Data mining;Classification algorithms","","7","","27","IEEE","27 Oct 2021","","","IEEE","IEEE Journals"
"Delay Compensation for Distributed MIMO Radar With Non-Orthogonal Waveforms","C. Zeng; F. Wang; H. Li; M. A. Govoni","Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Army Research Laboratory, Aberdeen Proving Ground, Aberdeen, MD, USA",IEEE Signal Processing Letters,"20 Jan 2022","2022","29","","41","45","Distributed multi-input multi-output (MIMO) radar with non-orthogonal waveforms has become a critical problem because waveform orthogonality may be lost as waveforms experience distinct delays and Doppler across different transmit-receive propagation paths. In such cases, the widely used matched filter (MF) cannot perfectly separate the waveforms, and it outputs the filtered echo of the desired waveform (auto term) as well as multiple undesired waveform residuals (cross terms). In this paper, a transmit delay compensation scheme is proposed by employing a set of transmit delay compensation variables to control the cross terms so that they can be utilized to enhance target detection. Specifically, the probability of detection is maximized by optimizing the delay parameters. To solve the resulting nonconvex problem, an optimum solution based on multi-dimensional search and a computationally efficient suboptimal method are proposed. Simulation results show that the proposed delay compensation approach can substantially improve the target detection performance.","1558-2361","","10.1109/LSP.2021.3123582","Army Research Office(grant numbers:W911NF-19-2-0234); National Science Foundation(grant numbers:ECCS-1923739); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591336","Distributed MIMO radar;probability of detection;transmit delay compensation;non-orthogonal waveforms","Manganese;Delays;MIMO radar;Object detection;Doppler effect;Search problems;Detectors","","4","","33","IEEE","27 Oct 2021","","","IEEE","IEEE Journals"
