Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE Signal Processing Society Information,,,IEEE Signal Processing Letters,12 Dec 2024,2024,31,,C2,C2,,1558-2361,,10.1109/LSP.2024.3460541,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795471,,,,,,0,IEEE,12 Dec 2024,,,IEEE,IEEE Journals
Decoding Silent Reading EEG Signals Using Adaptive Feature Graph Convolutional Network,C. Li; G. Fang; Y. Liu; J. Liu; L. Song,"Academy for Engineering & Technology, Fudan Univerisity, Shanghai, China; Academy for Engineering & Technology, Fudan Univerisity, Shanghai, China; Academy for Engineering & Technology, Fudan Univerisity, Shanghai, China; Academy for Engineering & Technology, Fudan Univerisity, Shanghai, China; Academy for Engineering & Technology, Fudan Univerisity, Shanghai, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,1,5,"Decoding silent reading Electroencephalography (EEG) signals is challenging because of its low signal-to-noise ratio. In addition, EEG signals are typically non-Euclidean structured, therefore merely using a two-dimensional matrix to represent the variation of sampling points of each channel in time cannot richly represent the spatial connection between channels. Furthermore, due to the individual differences in EEG signals, a fixed representation cannot adequately represent the temporal and spatial associations between channels in real time. In this letter, we use the feature matrix and its adaptive graph structure to represent each EEG signal. Then, we use them as inputs and propose a novel Adaptive Feature Graph Convolutional Network (AFGCN) to decode the silent reading EEG signals. We classify silent reading EEG signals under different tasks of 16 subjects from two publicly available datasets. The experimental results demonstrate that our proposed method achieves higher decoding accuracy than state-of-the-art EEG classification networks on both datasets. Among them, the highest classification accuracy for the four classes is 83.33%. The study could promote the application and development of BCI technology for silent reading EEG signal decoding. It can also provide an efficient and convenient communication method for patients with language impairment.",1558-2361,,10.1109/LSP.2023.3337727,"China Mobile Research Fund of Chinese Ministry of Education(grant numbers:KEH2310029); Specific Research Fund of the Innovation Platform for Academicians of Hainan Province(grant numbers:YSPTZX202314); Shanghai Key Research Lab. of NSAI and the Joint Lab. on Networked AI Edge Computing Fudan University-Changan; China Scholarship Council(grant numbers:202306100221); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10334056,Electroencephalography (EEG);silent reading;graph convolutional network;adaptive graph;language impairment,Electroencephalography;Decoding;Task analysis;Training;Adaptive systems;Symmetric matrices;Convolutional neural networks,,8,,31,IEEE,29 Nov 2023,,,IEEE,IEEE Journals
Learning Deep Scene Curve for Fast and Robust Underwater Image Enhancement,X. Xue; T. Ma; Y. Han; L. Ma; R. Liu,"School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,6,10,"Learning-based approaches inspired by the scattering model for enhancing underwater imagery have gained prominence. Nevertheless, these methods often suffer from time-consuming attributable to their sizable model dimensions. Moreover, they face challenges in adapting unknown scenes, primarily because the scattering model's original design was intended for atmospheric rather than marine condition. To address these obstacles, we begin by investigating the inherent differences in imaging characteristics between atmospheric and marine conditions based on statistical distributions. Building on these observations, we introduce an efficient and effective algorithm called Deep Scene Curve, abbreviated as DSC. This method comprises two essential steps: scene-irrelevant zero-mean adjustment and scene-oriented hyperparameter estimation. The first step transforms scene features into a unified zero-mean space, thereby reducing interference from scene-specific attributes. In the second step, we employ a lightweight neural network to estimate scene-oriented hyperparameters for a defined pixel-level curve based on underwater observations. This approach enables us to generate a deep curve that excels in both adaptability and efficiency, as substantiated by extensive experiments. Notably, our method achieves a significant 56% improvement in average inference time while reducing FLOPs by 92% compared to existing techniques. Furthermore, our extensive experiments in low-light image enhancement tasks highlight the potential advantages of DSC.",1558-2361,,10.1109/LSP.2023.3338055,"National Natural Science Foundation of China(grant numbers:U22B2052,62027826); LiaoNing Revitalization Talents Program(grant numbers:2022RG04); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10336378,Deep learning;underwater image enhancement;curve estimation,Image color analysis;Training;Adaptation models;Image enhancement;Computational modeling;Atmospheric modeling;Estimation,,3,,37,IEEE,30 Nov 2023,,,IEEE,IEEE Journals
ALAN: Self-Attention Is Not All You Need for Image Super-Resolution,Q. Chen; J. Qin; W. Wen,"School of Computer Science and Engineering, Sun Yat-Sen University, Guangzhou, Guangdong, China; School of Information Engineering, Guangdong University of Technology, Guangzhou, Guangdong, China; School of Computer Science and Engineering, Sun Yat-Sen University, Guangzhou, Guangdong, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,11,15,"Vision Transformer (ViT)-based image super-resolution (SR) methods have achieved impressive performance and surpassed CNN-based SR methods by utilizing Multi-Head Self-Attention (MHSA) to model long-range dependencies. However, the quadratic complexity of MHSA and the inefficiency of non-parallelized window partition seriously affect the inference speed, hindering these SR methods from being applied to application scenarios requiring speed and quality. To address this issue, we propose an Asymmetric Large-kernel Attention Network (ALAN) utilizing a stage-to-block design paradigm inspired by ViT. In the ALAN, the core block named Asymmetric Large Kernel Convolution Block (ALKCB) adopts a similar structure to the Swin Transformer Layer but replaces the MHSA with our proposed Asymmetric Depth-Wise Convolution Attention (ADWCA) to enhance both the SR quality and inference speed. The proposed ADWCA, with linear complexity, uses large kernel depth-wise dilation convolution and Hadamard product as the attention map. The structural re-parameterization technique to strengthen the kernel skeletons with asymmetric convolution is also explored. Experimental results demonstrate that ALAN achieves state-of-the-art performance with faster inference speed than ViT-based models and smaller parameters than CNN-based models. Specifically, the tiny size of ALAN (ALAN-T) is $3\times$ smaller than ShuffleMixer with similar performance, and ALAN is $4\times$ faster than SwinIR-S with 0.1 dB gain in PSNR.",1558-2361,,10.1109/LSP.2023.3337726,"National Natural Science Foundation of China(grant numbers:62206314,U1711264); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2022A1515011835); China Postdoctoral Science Foundation funded project(grant numbers:2021M703687); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10333996,Image super-resolution;asymmetric convolution;structural re-parameterization;stage-to-block design paradigm;attention network,Convolution;Kernel;Image reconstruction;Feature extraction;Benchmark testing;Complexity theory;Standards,,11,,42,IEEE,29 Nov 2023,,,IEEE,IEEE Journals
Population Monte Carlo With Normalizing Flow,S. Pal; A. Valkanas; M. Coates,"Huawei Noah's Arc Lab, Montréal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,16,20,"Adaptive importance sampling (AIS) methods provide a useful alternative to Markov Chain Monte Carlo (MCMC) algorithms for performing inference of intractable distributions. Population Monte Carlo (PMC) algorithms constitute a family of AIS approaches which adapt the proposal distributions iteratively to improve the approximation of the target distribution. Recent work in this area primarily focuses on ameliorating the proposal adaptation procedure for high-dimensional applications. However, most of the AIS algorithms use simple proposal distributions for sampling, which might be inadequate in exploring target distributions with intricate geometries. In this work, we construct expressive proposal distributions in the AIS framework using normalizing flow, an appealing approach for modeling complex distributions. We use an iterative parameter update rule to enhance the approximation of the target distribution. Numerical experiments show that in high-dimensional settings, the proposed algorithm offers significantly improved performance compared to the existing techniques.",1558-2361,,10.1109/LSP.2023.3341001,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10349798,Bayesian inference;importance sampling;Monte Carlo methods;normalizing flow;population Monte Carlo,Proposals;Signal processing algorithms;Monte Carlo methods;Artificial intelligence;Inference algorithms;Approximation algorithms;Sociology,,1,,40,IEEE,8 Dec 2023,,,IEEE,IEEE Journals
Sub-Pixel Checkerboard Corner Localization for Robust Vision Measurement,H. Zhu; Z. Zhou; B. Liang; X. Han; Y. Tao,"School of Mechanical Engineering, Hebei University of Technology, Tianjin, China; School of Mechanical Engineering, Hebei University of Technology, Tianjin, China; School of Mechanical Engineering, Hebei University of Technology, Tianjin, China; School of Mechanical Engineering, Hebei University of Technology, Tianjin, China; School of Mechanical Engineering, Hebei University of Technology, Tianjin, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,21,25,"Precise localization of checkerboard corner is crucial for camera calibration and accurate vision measurement. The accuracy of classical corner localization methods is affected by environmental factors, which hinders the effectiveness of vision measurements in complex scenes. We propose a novel end-to-end sub-pixel method for localizing checkerboard corners to overcome this challenge, demonstrating improved robustness in adverse conditions. We employ an EfficientNetv2-like backbone network to map the input image to a set of corners using offset regression. The continuous heatmap matching loss enables fine-grained spatial learning ability, while score loss ensures prediction sparsity and suppresses false positive probabilities. The model is trained on synthesized datasets with precise corner labels. Quantitative experimental results demonstrate the superior sub-pixel localization precision and robustness of our method on both synthetic and real-world datasets.",1558-2361,,10.1109/LSP.2023.3340060,"National Natural Science Foundation of China(grant numbers:52075146); Central Government Guided Local Science and Technology Development Fund(grant numbers:206Z1804G); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10345684,Sub-pixel localization;corner detection;vision measurement;camera calibration,Location awareness;Heating systems;Cameras;Robustness;Calibration;Predictive models;Mathematical models,,4,,33,IEEE,6 Dec 2023,,,IEEE,IEEE Journals
Super Augmented Nested Arrays: A New Sparse Array for Improved DOA Estimation Accuracy,X. Wang; L. Zhao; Y. Jiang,"School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,26,30,"The super augmented nested array (SANA) is a new sparse array (SA) proposed by expanding, changing the inter-element spacing (IES), and splitting the nested array (NA). The proposed SANA further enhances the sparsity of the NA to achieve lower mutual coupling (MC) and higher uniform degrees of freedom (uDOF) than the existing SAs. Specifically, the proposed SANA contains five uniform linear arrays (ULAs), and all sensor positions can be obtained from a closed-form expression. Moreover, the weight functions and achievable uDOF of the proposed SANA are analyzed in detail. It has been shown through simulations that SANA has a significant advantage over existing SAs for direction-of-arrival (DOA) estimation.",1558-2361,,10.1109/LSP.2023.3340599,"National Key Research and Development Program of China(grant numbers:2018YFB1802300); National Natural Science Foundation of China(grant numbers:62101608); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10347352,DOA estimation;mutual coupling;uniform degrees of freedom;super augmented nested array;sparse arrays;uniform linear array,Couplings;Sensor arrays;Estimation;Direction-of-arrival estimation;Mutual coupling;Array signal processing;Manifolds,,8,,35,IEEE,7 Dec 2023,,,IEEE,IEEE Journals
Unsupervised Linear Component Analysis for a Class of Probability Mixture Models,M. Castella,"SAMOVAR, Télécom SudParis, Institut Polytechnique de Paris, Palaiseau, France",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,31,35,"We deal with a model where a set of observations is obtained by a linear superposition of unknown components called sources. The problem consists in recovering the sources without knowing the linear transform. We extend the well-known Independent Component Analysis (ICA) methodology. Instead of assuming independent source components, we assume that the source vector is a probability mixture of two distributions. Only one distribution satisfies the ICA assumptions, while the other one is concentrated on a specific but unknown support. Sample points from the latter are clustered based on a data-driven distance in a fully unsupervised approach. A theoretical grounding is provided through a link with the Christoffel function. Simulation results validate our approach and illustrate that it is an extension of a formerly proposed method.",1558-2361,,10.1109/LSP.2023.3341005,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10349905,Probability mixtures;independent component analysis (ICA);Christoffel-Darboux kernel;unsupervised classification,Transforms;Data models;Mixture models;Context modeling;Kernel;Covariance matrices;Task analysis,,1,,25,IEEE,8 Dec 2023,,,IEEE,IEEE Journals
Atomic Norm-Based Joint Delay-Doppler Shift Estimation for OFDM Passive Radar,H. Lai; K. Ye; H. Sun; S. Hong,"School of Informatics, Xiamen University, Xiamen, China; School of Informatics, Xiamen University, Xiamen, China; School of Informatics, Xiamen University, Xiamen, China; School of Informatics, Xiamen University, Xiamen, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,36,40,"In this letter, we consider the problem of joint delay-Doppler shift estimation of multiple moving targets in a passive radar system using orthogonal frequency-division multiplexing communication signals. An atomic norm-based algorithm is proposed for better estimation performance and higher robustness against the demodulation error. We utilize a new atomic set with the unknown demodulation error from the direct-path signal included, aiming to reduce the impact of high symbol error rate (SER), in contrast to previous works that introduce $\ell _{1}$-norm to exploit the sparsity of the afore-mentioned error. By converting to a semidefinite program, the problem is solved under the convex optimization framework. Simulation results show that the proposed method performs better under high SER conditions.",1558-2361,,10.1109/LSP.2023.3341391,"National Natural Science Foundation of China(grant numbers:62271426); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10352939,Atomic norm;passive radar;joint delay-Doppler shift estimation;semidefinite program,Manganese;Demodulation;Passive radar;Symbols;OFDM;Estimation;Receivers,,3,,14,IEEE,11 Dec 2023,,,IEEE,IEEE Journals
Expectation Propagation Detection With Physical Network Coding for Massive MIMO Systems,H. Zeng; Z. Xie; P. Chen; Y. Fang,"Department of Electronic Information, Fuzhou University, Fujian, China; Department of Electronic Information, Fuzhou University, Fujian, China; Singapore University of Technology and Design, Singapore; School of Information Engineering, Guangdong University of Technology, Guangzhou, Guangdong, China",IEEE Signal Processing Letters,3 Jan 2024,2024,31,,41,45,"Both massive multiple-input and multiple-output (MIMO) and physical-layer network coding (PNC) techniques can effectively improve the network throughput. However, for PNC-aided massive MIMO systems, the high-order modulations superimposed at the relay particularly bring computational burden and performance degradation to the signal detection. Thus, this letter proposes an iterative MIMO-PNC detector from double expectation propagation (DEP) as a high-accuracy solution in this large-scale system. By exploiting the PNC characteristic, the summation and difference (SD) information of the user pair messages are first linearly formed and iteratively updated between the DEP detector and the channel decoder. Simulation results show that the proposed iterative method can achieve significant performance gains of 2 dB in various massive MIMO systems, as compared to the non-iterative one and traditional linear minimum mean square error (LMMSE) detector.",1558-2361,,10.1109/LSP.2023.3341342,"National Natural Science Foundation of China(grant numbers:62171135,62322106); Fujian Distinguished Talent Project(grant numbers:2022J06010); International Collaborative Research of Guangdong Science and Technology Department(grant numbers:2022A0505050070); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10352949,Iterative decoding;massive MIMO;physical-layer network coding,Symbols;Detectors;Signal processing algorithms;Iterative decoding;Gaussian distribution;Massive MIMO;Relays,,,,21,IEEE,11 Dec 2023,,,IEEE,IEEE Journals
